Frequency (GHz)	DB(|S(1,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(2,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(3,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(4,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(5,1)|) : 6PORT ORIGINAL CRLH N8	DB(|S(6,1)|) : 6PORT ORIGINAL CRLH N8
1.66	-10.4875	-5.55652	-7.46584	-44.488	-7.58153	-5.54964
1.67	-10.7603	-5.61608	-7.32422	-45.4218	-7.4183	-5.60275
1.68	-11.1016	-5.6724	-7.18211	-46.4656	-7.25627	-5.65295
1.69	-11.5204	-5.72538	-7.04101	-47.6399	-7.0969	-5.69989
1.7	-12.0285	-5.77494	-6.90258	-48.9669	-6.94185	-5.74324
1.71	-12.6408	-5.82095	-6.76862	-50.4661	-6.79294	-5.78271
1.72	-13.3771	-5.8633	-6.64106	-52.1388	-6.65207	-5.81805
1.73	-14.2643	-5.90179	-6.52184	-53.9218	-6.52122	-5.84905
1.74	-15.3406	-5.9362	-6.41296	-55.5794	-6.40238	-5.87559
1.75	-16.663	-5.96625	-6.3163	-56.598	-6.29746	-5.89759
1.76	-18.323	-5.99165	-6.23364	-56.5035	-6.20823	-5.91503
1.77	-20.4835	-6.01209	-6.16651	-55.4927	-6.13625	-5.92796
1.78	-23.481	-6.02729	-6.11617	-54.1293	-6.08281	-5.93645
1.79	-28.228	-6.03701	-6.08351	-52.7599	-6.04881	-5.94061
1.8	-39.7386	-6.04112	-6.06903	-51.4937	-6.03476	-5.94054
1.81	-34.825	-6.0396	-6.07278	-50.3363	-6.04077	-5.93635
1.82	-26.7053	-6.03254	-6.09441	-49.2628	-6.0665	-5.92812
1.83	-22.6615	-6.02015	-6.13316	-48.246	-6.11121	-5.91592
1.84	-19.9945	-6.0027	-6.1879	-47.2656	-6.17382	-5.89982
1.85	-18.0386	-5.98057	-6.25721	-46.3103	-6.25295	-5.87989
1.86	-16.5233	-5.95412	-6.33945	-45.3767	-6.34698	-5.85623
1.87	-15.3111	-5.92373	-6.43284	-44.4662	-6.45417	-5.82894
1.88	-14.322	-5.88974	-6.5355	-43.5829	-6.5727	-5.79819
1.89	-13.5049	-5.85245	-6.64556	-42.731	-6.70073	-5.76417
1.9	-12.8252	-5.81211	-6.7612	-41.914	-6.83648	-5.72712
1.91	-12.2581	-5.76891	-6.88069	-41.1338	-6.97828	-5.6873
1.92	-11.7853	-5.72301	-7.00241	-40.3912	-7.12454	-5.64501
1.93	-11.3927	-5.67452	-7.12489	-39.6856	-7.27387	-5.60056
1.94	-11.0693	-5.62354	-7.24683	-39.0156	-7.425	-5.55428
1.95	-10.8066	-5.57013	-7.36708	-38.3791	-7.57685	-5.50649
1.96	-10.5974	-5.51438	-7.48466	-37.7737	-7.7285	-5.45754
1.97	-10.4361	-5.45637	-7.59873	-37.1968	-7.87918	-5.40778
1.98	-10.3178	-5.39619	-7.70862	-36.6459	-8.0283	-5.35755
1.99	-10.2386	-5.33395	-7.81379	-36.1185	-8.17541	-5.30723
2	-10.1949	-5.26981	-7.91384	-35.6121	-8.32019	-5.25719
2.01	-10.1836	-5.20393	-8.00849	-35.1244	-8.46248	-5.20784
2.02	-10.2016	-5.13654	-8.09757	-34.6534	-8.60224	-5.15961
2.03	-10.2458	-5.06788	-8.18102	-34.197	-8.73957	-5.11297
2.04	-10.313	-4.99827	-8.25891	-33.7534	-8.87471	-5.06843
2.05	-10.3991	-4.92807	-8.33136	-33.3208	-9.008	-5.02659
2.06	-10.4993	-4.85769	-8.39863	-32.8974	-9.13997	-4.98809
2.07	-10.6075	-4.78764	-8.46106	-32.4817	-9.27128	-4.95368
2.08	-10.7159	-4.71848	-8.51909	-32.0717	-9.40276	-4.92422
2.09	-10.8146	-4.65089	-8.57325	-31.6655	-9.53544	-4.90069
2.1	-10.8913	-4.58564	-8.62421	-31.2612	-9.67058	-4.88424
2.11	-10.9315	-4.52364	-8.67271	-30.8563	-9.80971	-4.87622
2.12	-10.9189	-4.46593	-8.71965	-30.4482	-9.95464	-4.87819
2.13	-10.8368	-4.41374	-8.76606	-30.0337	-10.1076	-4.89202
2.14	-10.6705	-4.36849	-8.8131	-29.6092	-10.2712	-4.9199
2.15	-10.4093	-4.33185	-8.86213	-29.1709	-10.4487	-4.96446
2.16	-10.0495	-4.30576	-8.9147	-28.7141	-10.644	-5.02882
2.17	-9.59437	-4.29253	-8.97258	-28.2342	-10.8617	-5.11673
2.18	-9.05463	-4.29484	-9.03781	-27.7263	-11.1078	-5.23271
2.19	-8.44576	-4.31585	-9.1127	-27.1861	-11.3891	-5.38224
2.2	-7.78584	-4.35928	-9.19992	-26.6099	-11.7146	-5.57195
2.21	-7.09328	-4.42949	-9.30249	-25.9955	-12.095	-5.80996
2.22	-6.38532	-4.53158	-9.42383	-25.3425	-12.5439	-6.10627
2.23	-5.6773	-4.67154	-9.56779	-24.6529	-13.0786	-6.47325
2.24	-4.98254	-4.85629	-9.73867	-23.9313	-13.7214	-6.9264
2.25	-4.31252	-5.09382	-9.94114	-23.1845	-14.5013	-7.48541
2.26	-3.67719	-5.39329	-10.1802	-22.4217	-15.4572	-8.17581
2.27	-3.08523	-5.76511	-10.4611	-21.6534	-16.6423	-9.03164
2.28	-2.54425	-6.22102	-10.7891	-20.8911	-18.1298	-10.1001
2.29	-2.06083	-6.77423	-11.1693	-20.1462	-20.0145	-11.4501
2.3	-1.64043	-7.43964	-11.606	-19.4297	-22.3701	-13.1896
2.31	-1.28725	-8.23426	-12.1031	-18.7511	-24.9121	-15.5021
2.32	-1.00406	-9.17798	-12.6634	-18.1184	-25.9012	-18.7204
2.33	-0.792012	-10.2948	-13.2888	-17.5373	-23.9479	-23.2667
2.34	-0.650677	-11.6145	-13.9802	-17.0117	-21.1438	-25.8314
2.35	-0.578063	-13.1743	-14.7381	-16.5434	-18.704	-21.3974
2.36	-0.570847	-15.0169	-15.5631	-16.1324	-16.7329	-17.3732
2.37	-0.624658	-17.1677	-16.4567	-15.7774	-15.1403	-14.5468
2.38	-0.734408	-19.5251	-17.4221	-15.4762	-13.8387	-12.467
2.39	-0.894626	-21.4963	-18.4645	-15.226	-12.7632	-10.8677
2.4	-1.09973	-21.8301	-19.5906	-15.0239	-11.8665	-9.6003
2.41	-1.34423	-20.4141	-20.8065	-14.8669	-11.1144	-8.57514
2.42	-1.62291	-18.4863	-22.1096	-14.7523	-10.4808	-7.7343
2.43	-1.93085	-16.7111	-23.4698	-14.6778	-9.94594	-7.03813
2.44	-2.26347	-15.2097	-24.7892	-14.6411	-9.49428	-6.45827
2.45	-2.61651	-13.9549	-25.8442	-14.6401	-9.11339	-5.97377
2.46	-2.98599	-12.8988	-26.3023	-14.6726	-8.79313	-5.56868
2.47	-3.36812	-12.0002	-25.9644	-14.7363	-8.52503	-5.2306
2.48	-3.75921	-11.2275	-24.9967	-14.8289	-8.30185	-4.94971
2.49	-4.15557	-10.557	-23.7414	-14.9472	-8.11729	-4.71806
2.5	-4.55341	-9.9715	-22.4479	-15.088	-7.96577	-4.52912
2.51	-4.94873	-9.45776	-21.2327	-15.2476	-7.84231	-4.37743
2.52	-5.33725	-9.00583	-20.1344	-15.4221	-7.74244	-4.25837
2.53	-5.71438	-8.60789	-19.1576	-15.6074	-7.6622	-4.16797
2.54	-6.07529	-8.25765	-18.294	-15.7994	-7.59809	-4.10281
2.55	-6.41496	-7.94987	-17.5317	-15.9942	-7.54705	-4.0599
2.56	-6.72846	-7.68008	-16.858	-16.1881	-7.5065	-4.03663
2.57	-7.01117	-7.44439	-16.2614	-16.3781	-7.47424	-4.03068
2.58	-7.25914	-7.23933	-15.7312	-16.5614	-7.44844	-4.04002
2.59	-7.46939	-7.06179	-15.2583	-16.7358	-7.4276	-4.06284
2.6	-7.64018	-6.90898	-14.8346	-16.8998	-7.4105	-4.0975
2.61	-7.77118	-6.77838	-14.4533	-17.0521	-7.39614	-4.14255
2.62	-7.86346	-6.66772	-14.1081	-17.1919	-7.38371	-4.19666
2.63	-7.91939	-6.57497	-13.7941	-17.3189	-7.37254	-4.25862
2.64	-7.94239	-6.49828	-13.5065	-17.433	-7.36211	-4.32729
2.65	-7.93662	-6.43602	-13.2416	-17.5342	-7.35194	-4.40164
2.66	-7.90664	-6.38673	-12.9959	-17.6229	-7.34165	-4.48069
2.67	-7.85711	-6.34912	-12.7665	-17.6995	-7.33093	-4.56348
2.68	-7.79259	-6.32202	-12.551	-17.7645	-7.31949	-4.64913
2.69	-7.71731	-6.30444	-12.3472	-17.8185	-7.30707	-4.73676
2.7	-7.63511	-6.29546	-12.1531	-17.8619	-7.29348	-4.82552
2.71	-7.54937	-6.29429	-11.9672	-17.8955	-7.27852	-4.91457
2.72	-7.46303	-6.30026	-11.7879	-17.9197	-7.26204	-5.00311
2.73	-7.37859	-6.31276	-11.6142	-17.9353	-7.2439	-5.0903
2.74	-7.29816	-6.33125	-11.4449	-17.9427	-7.22399	-5.17534
2.75	-7.22352	-6.3553	-11.2791	-17.9425	-7.20222	-5.25743
