Frequency (GHz)	SDeltaP(6PORT ORIGINAL CRLH N8,2,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,3,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,5,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8	SDeltaP(6PORT ORIGINAL CRLH N8,6,1,5,1) (Deg) : 6PORT ORIGINAL CRLH N8
2.82	1821.33	1247.45	0	600.868
2.83	1822.5	1247.26	0	603.038
2.84	1823.71	1247.07	0	605.247
2.85	1824.99	1246.88	0	607.49
2.86	1826.33	1246.68	0	609.763
2.87	1827.74	1246.49	0	612.061
2.88	1829.23	1246.29	0	614.379
2.89	1830.79	1246.09	0	616.711
2.9	1832.45	1245.89	0	619.053
2.91	1834.19	1245.68	0	621.4
2.92	1836.03	1245.47	0	623.747
2.93	1837.97	1245.26	0	626.09
2.94	1840.01	1245.05	0	628.426
2.95	1842.16	1244.83	0	630.75
2.96	1844.41	1244.62	0	633.061
2.97	1846.76	1244.39	0	635.357
2.98	1849.21	1244.17	0	637.636
2.99	1851.76	1243.94	0	639.896
3	1854.38	1243.71	0	642.137
